SITE_LAT,SITE_LON,coarse,americas_split,fine
19.3294,-98.8921,Americas,Am:Mesoamerica,Am:Mesoamerica
16.3952,-90.2044,Americas,Am:Mesoamerica,Am:Mesoamerica
32.6357,14.2892,Europe-Med,Europe-Med,Med:south
39.369,-7.3865,Europe-Med,Europe-Med,Med:south
16.9002,-90.966,Americas,Am:Mesoamerica,Am:Mesoamerica
-8.1048,-79.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-11.0233,-77.6338,Americas,Am:Andes/S.Am,Am:Andes/S.Am
14.633,-90.549,Americas,Am:Mesoamerica,Am:Mesoamerica
-8.106,-79.079,Americas,Am:Andes/S.Am,Am:Andes/S.Am
39.0554,43.357,Middle East,Middle East,ME:west
37.0807,-8.1208,Europe-Med,Europe-Med,Med:south
39.2034,29.6087,Europe-Med,Europe-Med,Med:south
13.8006,-89.3895,Americas,Am:Mesoamerica,Am:Mesoamerica
22.7312,32.2626,Middle East,Middle East,ME:west
34.625,112.375,East Asia,East Asia,East Asia
36.4222,9.2183,Europe-Med,Europe-Med,Med:south
14.9236,-92.1796,Americas,Am:Mesoamerica,Am:Mesoamerica
15.8272,-91.8841,Americas,Am:Mesoamerica,Am:Mesoamerica
31.6268,-91.8187,Americas,Am:N.America,Am:N.America
31.621,45.933,Middle East,Middle East,ME:east
-33.7181,143.0812,Oceania/SE Asia,Oceania/SE Asia,Oceania/SE Asia
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
25.7188,32.6021,Middle East,Middle East,ME:west
40.0995,-8.4938,Europe-Med,Europe-Med,Eur:north
44.5928,33.8009,Middle East,Middle East,ME:west
33.1101,35.5309,Middle East,Middle East,ME:west
32.0098,48.5198,Middle East,Middle East,ME:east
21.1685,94.8584,South Asia,South Asia,South Asia
-8.0948,-79.067,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8805,-77.5148,Americas,Am:Andes/S.Am,Am:Andes/S.Am
32.2767,35.8902,Middle East,Middle East,ME:west
32.6392,14.2951,Europe-Med,Europe-Med,Med:south
7.8159,80.3116,South Asia,South Asia,South Asia
37.1101,25.3723,Europe-Med,Europe-Med,Med:south
18.5358,31.8242,Middle East,Middle East,ME:west
20.681,-88.57,Americas,Am:Mesoamerica,Am:Mesoamerica
16.703,-93.0037,Americas,Am:Mesoamerica,Am:Mesoamerica
33.484,44.728,Middle East,Middle East,ME:west
30.963,46.103,Middle East,Middle East,ME:east
21.1603,-99.3965,Americas,Am:Mesoamerica,Am:Mesoamerica
21.0915,-89.5967,Americas,Am:Mesoamerica,Am:Mesoamerica
40.1402,44.5384,Middle East,Middle East,ME:west
19.329,-98.8923,Americas,Am:Mesoamerica,Am:Mesoamerica
