SITE_LAT,SITE_LON,BEARING,cluster_25km,cluster_50km,cluster_75km,cluster_100km
40.0194,34.6144,-33.0,150,129,112,52
32.3252,35.7273,-30.0,102,49,44,35
20.681,-88.57,21.0,105,88,22,16
-9.4886,-78.2588,13.0,6,6,6,6
36.5946,2.4439,-30.0,151,130,113,91
32.6829,35.6018,-30.0,102,49,44,35
35.4597,43.2612,-30.0,65,56,49,30
32.53,44.4262,-29.0,42,38,34,27
16.9022,-92.0095,21.0,110,91,66,16
22.4579,-102.8216,25.0,43,39,35,28
17.7642,-88.347,20.0,152,28,25,16
38.0366,-3.6252,-29.0,119,100,89,73
30.835,46.332,-28.0,153,75,40,32
10.7825,79.1315,-20.0,154,131,114,92
10.7826,79.1318,-20.0,154,131,114,92
21.1858,94.8936,-15.0,17,15,14,13
20.3583,-89.772,21.0,26,24,22,16
18.8054,-99.2967,23.0,138,29,26,21
19.0013,-88.2304,20.0,108,90,25,16
39.8014,98.2158,-14.5,155,132,115,93
13.981,-89.1626,19.0,156,66,59,48
34.375,108.698,-10.0,51,12,12,11
17.756,-89.921,20.0,157,110,25,16
24.0857,32.8862,-27.0,64,55,48,39
32.5433,44.4229,-27.0,42,38,34,27
34.8055,48.5164,-28.0,158,133,116,94
20.681,-88.57,20.0,105,88,22,16
-13.4142,-71.8439,10.0,11,4,4,4
19.5003,-89.7836,20.0,159,124,22,16
20.1728,-89.3455,20.0,26,24,22,16
-13.5024,-76.045,11.5,5,5,5,5
29.5177,30.9033,-28.0,160,134,93,43
36.359,43.153,-29.0,161,135,49,30
13.1629,75.8604,-20.0,162,136,117,95
33.9074,35.9489,-29.0,163,137,44,35
22.4592,-102.8233,24.0,43,39,35,28
16.9015,-92.0098,20.0,110,91,66,16
20.1742,-89.6062,20.0,26,24,22,16
36.5214,34.1258,-30.0,81,69,62,51
36.5214,34.1258,-30.0,81,69,62,51
17.4841,-92.0462,20.0,85,73,66,16
-6.4728,-79.7943,13.0,18,16,15,8
36.2674,29.3178,-30.0,164,138,118,96
16.958,-96.45,21.0,114,95,84,68
14.8744,-90.6632,19.0,28,20,18,16
20.5,-86.8453,19.0,165,139,22,16
40.806,14.3482,-32.0,125,105,94,77
34.3411,43.8236,-28.0,166,140,119,97
31.7445,45.8747,-27.0,72,44,40,32
31.5623,46.1809,-27.0,72,44,40,32
16.5136,-90.0613,19.0,59,50,25,16
32.4496,35.6156,-28.0,102,49,44,35
32.3252,35.7273,-28.0,102,49,44,35
38.7207,-9.3228,-25.0,167,141,120,98
37.9976,-7.9496,-25.0,112,93,82,57
37.9718,23.7197,-30.0,168,142,111,90
21.179,94.8924,-14.0,17,15,14,13
20.3595,-89.7711,19.0,26,24,22,16
20.2487,-89.6466,19.0,26,24,22,16
20.6298,-89.4614,19.0,169,24,22,16
18.8056,-99.2963,21.0,138,29,26,21
17.4841,-92.0462,19.0,85,73,66,16
35.6712,36.5694,-28.0,83,71,64,44
34.0747,-5.5552,-23.0,86,74,67,54
37.3773,27.6702,-29.0,170,113,100,82
39.0619,-7.4893,-25.0,171,78,70,57
35.4591,43.2602,-27.0,65,56,49,30
14.9233,-92.1801,18.0,98,82,74,16
36.5231,34.1233,-28.0,81,69,62,51
36.3966,30.473,-28.0,172,143,118,96
41.0116,21.3425,-30.0,173,144,121,99
37.08,-8.1204,-23.0,84,72,65,53
13.979,-89.674,17.0,174,66,59,48
20.681,-88.57,18.0,105,88,22,16
20.1744,-89.6091,18.0,26,24,22,16
17.0038,-96.557,19.0,114,95,84,68
21.091,-89.59,18.0,87,24,22,16
34.7498,40.7289,-26.0,175,145,104,84
18.6384,-88.7587,17.0,75,32,25,16
32.6375,14.2943,-25.0,91,77,69,56
36.2591,29.9852,-27.0,176,143,118,96
24.0856,32.8855,-15.0,64,55,48,39
33.484,44.728,-25.0,106,48,34,27
21.1834,94.8919,-13.0,17,15,14,13
20.681,-88.57,17.0,105,88,22,16
32.105,34.93,-25.0,177,49,44,35
37.9978,-7.9494,-22.0,112,93,82,57
32.4505,35.6178,-25.0,102,49,44,35
16.5136,-90.0613,16.5,59,50,25,16
-13.4949,-76.0374,10.0,5,5,5,5
19.5958,-90.2297,17.0,145,124,22,16
20.3614,-89.771,17.0,26,24,22,16
37.8695,12.4652,-26.0,178,146,122,100
17.0033,-96.5577,18.0,114,95,84,68
19.2084,72.9058,-18.0,179,147,123,101
40.1537,44.4461,-26.0,67,58,51,41
22.4573,-102.8217,20.0,43,39,35,28
17.3103,-89.2592,16.0,180,148,25,16
-6.5121,-79.8394,11.0,18,16,15,8
-13.6526,-73.9555,9.0,181,149,124,102
32.3252,35.7273,-24.0,102,49,44,35
18.516,-89.4665,16.0,182,121,25,16
38.0359,-3.6236,-22.0,119,100,89,73
38.3527,43.4602,-25.0,183,79,71,58
20.681,-88.57,16.0,105,88,22,16
19.5004,-89.7837,16.0,159,124,22,16
29.5177,30.9033,-23.0,160,134,93,43
41.123,75.7,-19.0,143,122,108,87
36.06,-107.97,24.0,184,150,125,103
20.171,-89.5786,16.0,26,24,22,16
39.4905,26.3369,-26.0,185,151,126,104
19.1075,-99.5968,18.0,186,29,26,21
17.4849,-91.5705,16.0,187,152,66,16
19.5981,-90.2304,16.0,145,124,22,16
20.6344,-89.4433,16.0,169,24,22,16
40.0812,44.0345,-25.0,188,58,51,41
38.7304,-9.4438,-20.0,167,141,120,98
