SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Caral,Peru,-10.8943,-77.52377,28.0,38.79575898457005,51.20424101542995,37.20424101542995,33.40424101542995,25.304241015429945,13.504241015429947,13.504241015429947,V,3.2042410154299503,VI
Caral,Peru,-10.8911,-77.5203,28.0,38.79344785498371,51.20655214501629,37.20655214501629,33.40655214501629,25.306552145016283,13.506552145016286,13.506552145016286,V,3.206552145016289,VI
Las Haldas,Peru,-9.701,-78.2964,28.5,39.40640462343422,50.59359537656578,36.59359537656578,32.79359537656578,24.693595376565774,12.893595376565777,12.893595376565777,V,2.59359537656578,VI
Raqch'i,Peru,-14.1743,-71.3702,22.0,39.31976129745903,50.68023870254097,36.68023870254097,32.88023870254097,24.780238702540963,12.980238702540966,12.980238702540966,V,2.6802387025409686,VI
Raqch'i,Peru,-14.1752,-71.3692,22.0,39.31792670189592,50.68207329810408,36.68207329810408,32.88207329810408,24.782073298104073,12.982073298104076,12.982073298104076,V,2.682073298104079,VI
Caral,Peru,-10.8922,-77.5184,27.5,39.506147056824894,50.493852943175106,36.493852943175106,32.69385294317511,24.5938529431751,12.793852943175104,12.793852943175104,V,2.4938529431751064,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,32.0,39.69183510570955,50.30816489429045,36.30816489429045,32.50816489429045,24.408164894290444,12.608164894290447,12.608164894290447,V,2.3081648942904494,VI
Temples of Bagan (small cluster),Myanmar,21.1864,94.8905,-30.0,39.98001432601159,50.01998567398841,36.01998567398841,32.21998567398841,24.119985673988403,12.319985673988405,12.319985673988405,V,2.0199856739884083,VI
Caral,Peru,-10.88342,-77.54085,27.0,40.257951277164224,49.742048722835776,35.742048722835776,31.94204872283578,23.84204872283577,12.042048722835773,12.042048722835773,V,1.7420487228357757,VI
Allpacoto,Peru,-10.8799,-77.5158,27.0,40.232815172289854,49.767184827710146,35.767184827710146,31.96718482771015,23.86718482771014,12.067184827710143,12.067184827710143,V,1.767184827710146,VI
Túcume,Peru,-6.5152,-79.8443,30.0,40.260715441535204,49.739284558464796,35.739284558464796,31.9392845584648,23.83928455846479,12.039284558464793,12.039284558464793,V,1.7392845584647958,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,31.0,40.797682171900504,49.202317828099496,35.202317828099496,31.4023178280995,23.30231782809949,11.502317828099493,11.502317828099493,V,1.2023178280994955,VI
Huaca del Luna,Peru,-8.132,-78.995,28.0,41.4279225473669,48.5720774526331,34.5720774526331,30.772077452633106,22.672077452633097,10.8720774526331,10.8720774526331,V,0.5720774526331027,VI
Huaca del Sol,Peru,-8.1345,-78.99,28.0,41.422159630144996,48.577840369855004,34.577840369855004,30.777840369855006,22.677840369854998,10.877840369855,10.877840369855,V,0.5778403698550036,VI
Temples of Bagan (small cluster),Myanmar,21.1836,94.8757,-29.0,41.5579993685474,48.4420006314526,34.4420006314526,30.642000631452603,22.542000631452595,10.742000631452598,10.742000631452598,V,0.4420006314526006,VI
Lurihuasi,Peru,-10.8755,-77.5523,26.0,41.74951298510962,48.25048701489038,34.25048701489038,30.450487014890385,22.350487014890376,10.550487014890379,10.550487014890379,V,0.25048701489038194,VI
Caral,Peru,-10.89263,-77.52963,26.0,41.718970525473665,48.281029474526335,34.281029474526335,30.481029474526338,22.38102947452633,10.581029474526332,10.581029474526332,V,0.28102947452633487,VI
Caral,Peru,-10.88978,-77.52511,26.0,41.71528794235633,48.28471205764367,34.28471205764367,30.48471205764367,22.38471205764366,10.584712057643664,10.584712057643664,V,0.2847120576436666,VI
Caral,Peru,-10.88925,-77.5242,26.0,41.714529645302264,48.285470354697736,34.285470354697736,30.48547035469774,22.38547035469773,10.585470354697733,10.585470354697733,V,0.2854703546977362,VI
Ai-Khanoum,Afghanistan,37.1678,69.4083,-42.0,42.26491991190137,47.73508008809863,33.73508008809863,29.93508008809863,21.83508008809862,10.035080088098624,10.035080088098624,V,0.264919911901373,VI
Caral,Peru,-10.8905,-77.5216,25.5,42.463647359007744,47.536352640992256,33.536352640992256,29.73635264099226,21.63635264099225,9.836352640992253,9.836352640992253,V,0.46364735900774434,VI
Caral,Peru,-10.8918,-77.5203,25.5,42.461790367826005,47.538209632173995,33.538209632173995,29.738209632173998,21.63820963217399,9.838209632173992,9.838209632173992,V,0.4617903678260049,VI
Caral,Peru,-10.89303,-77.51848,25.5,42.459410720965025,47.540589279034975,33.540589279034975,29.740589279034978,21.64058927903497,9.840589279034972,9.840589279034972,V,0.45941072096502467,VI
