SITE NAME,COUNTRY,LAT,LON,BEARING,block
Nuzi (Sumer),Iraq,35.37,44.255,-45.0,Middle East
Estakhr,Iran,29.9795,52.9092,-41.0,Middle East
El Tajín,Mexico,20.4496,-97.3751,40.0,Americas
Yaxchilan,Mexico,16.8989,-90.9642,36.0,Americas
Tomb of Emperor Hui of Han,China,34.423,108.841,-15.0,East Asia
Uruk,Iraq,31.322,45.636,-43.0,Middle East
Zaculeu,Guatemala,15.3342,-91.4927,35.0,Americas
Choquequirao,Peru,-13.393,-72.874,17.0,Americas
Chogha Zanbil,Iran,32.0089,48.5203,-42.0,Middle East
Tancama,Mexico,21.1605,-99.3959,40.0,Americas
La Joya,Mexico,19.028,-96.154,38.0,Americas
El Tajín,Mexico,20.4498,-97.3772,39.0,Americas
Caral,Peru,-10.89344,-77.52155,20.0,Americas
Pasargadae,Iran,30.2048,53.1801,-40.0,Middle East
El morro del tulcán,Colombia,2.444,-76.6,22.0,Americas
Medinet Habu temple,Egypt,25.7195,32.601,-43.0,Middle East
Sippar (Sumer),Iraq,33.0602,44.2512,-43.0,Middle East
Xelha,Mexico,20.3196,-87.3669,35.0,Americas
Nimrod Castle,Syria,33.2527,35.7147,-45.0,Middle East
Zaculeu,Guatemala,15.3334,-91.4938,34.0,Americas
Aguateca,Guatemala,16.3952,-90.2044,34.0,Americas
Huaca del Sol,Peru,-8.1346,-78.9924,21.0,Americas
Palmyra,Syria,34.5504,38.2675,-45.0,Middle East
Los Cancajos Pyramid,Spain,28.6502,-17.7625,-35.0,Africa
Unknown Chinese Pyramid,China,34.4234,108.8366,-14.5,East Asia
Tomb of Emperor Gaozu of Han,China,34.435,108.877,-14.5,East Asia
Caral,Peru,-10.8935,-77.5145,19.5,Americas
Der (Sumer),Iraq,33.124,45.931,-42.0,Middle East
Tenam Puente,Mexico,16.1419,-92.1063,34.0,Americas
Tomb of Consort Ban,China,34.3798,108.7045,-14.5,East Asia
Quiahuiztlán,Mexico,19.6695,-96.4155,37.0,Americas
Temple of Khnoum,Egypt,24.0845,32.8862,-41.5,Middle East
Pasargadae,Iran,30.1996,53.178,-39.0,Middle East
Zaculeu,Guatemala,15.3336,-91.493,33.0,Americas
Cobá,Mexico,20.4933,-87.7217,34.0,Americas
Temple of Anu and Adad (Assur),Iraq,35.4586,43.2586,-43.0,Middle East
Gunung Padang,Indonesia,-6.993,107.056,-20.0,Oceania/SE Asia
Túcume,Peru,-6.5148,-79.8457,21.0,Americas
Lagartero,Mexico,15.8282,-91.884,33.0,Americas
Chupacigarro,Peru,-10.8914,-77.5324,19.0,Americas
Garni Temple,Armenia,40.1124,44.7303,-44.0,Middle East
Bonampak,Mexico,16.704,-91.065,33.0,Americas
Temples of Bagan (large cluster),Myanmar,21.1786,94.8793,-22.0,South Asia
Tenam Puente,Mexico,16.1403,-92.1067,33.0,Americas
Vichama,Peru,-11.023,-77.6345,19.0,Americas
Los Cancajos Pyramid,Spain,28.6502,-17.7625,-33.0,Africa
Chogha Zanbil,Iran,32.0095,48.521,-40.0,Middle East
Chan-Chan,Peru,-8.1145,-79.0725,20.0,Americas
Wadi el Seboua,Egypt,22.7931,32.5454,-40.0,Middle East
Borsippa,Iraq,32.3923,44.3423,-41.0,Middle East
Cantona,Mexico,19.5529,-97.4916,36.0,Americas
Buto,Egypt,31.1951,30.7385,-43.0,Middle East
Pasargadae,Iran,30.2027,53.1779,-38.0,Middle East
Tomb of Empress Lü,China,34.434,108.881,-14.0,East Asia
Zaculeu,Guatemala,15.3338,-91.4926,32.0,Americas
Ain Dara Temple,Syria,36.4595,36.852,-44.0,Middle East
Tomb of Marquis Zhang Ao,China,34.428,108.851,-14.0,East Asia
